Parameter Code;Analysis Method Code;Unit;Parameter Long Name;Method Name;Method Type;Method Number;Method Source;Method Description
FECALCOLI;MTF-OECP;1/100 ml;Fecal Coliform;Multiple-Tube Fermentation Technique (Fecal Coliform Procedure);Estimation;SM 9221 E;APHA 2012;"Elevated temperature distinguishes fecal coliforms from total coliforms. Minor variations in analytical techniques can cause change in analytical results; therefore microbiological methods and sterilising procedures must be standardized to obtain uniform results from different laboratories. Use sufficient EC medium in fermentation tubes and incubate at 20°C overnight before use; discard tubes with growth or bubbles. Arrange fermentation tubes in rows of five or ten each in test tube rack. For potable water, use five 20 mL portions, ten 10 mL portions tubes or a single 100 mL portion. For non-potable water, use five tubes per dilution (10, 1.0, 0.1 mL, etc). Shake sample well, inoculate and mix test tubes in the medium by gentle agitation. Incubate inoculated tubes or bottles at 44.5°C ± 0.2°C. Gas production with growth in an EC broth culture tube within 24 hours ± 2 hours or less is considered positive faecal coliform reaction. If absent, re-incubate for another 24 hours. The absence of acidic reaction or gas formation constitutes a negative test. Gently shake or rotate the tubes/bottles to re-suspend the organisms. With a sterile loop, transfer one or more loopfuls of culture to the fermentation tube containing brilliant green lactose bile broth (or insert a sterile applicator into the culture, quickly remove and insert to the bottom of fermentation tube containing the broth. Remove and discard applicator). Repeat for all positive presumptive tubes. Incubate at 44.5°C ± 0.2°C. Formation of gas at any time within 48 hours ± 3 hours constitutes a positive confirmed phase. Failure to produce gas (with little or no growth) constitutes a negative reaction. Calculate from the number of positive EC broth tubes."
FECALCOLI;VMV_1410;1/100 ml;Fecal Coliform;Membrane filter count per 100 mL;Estimation;VMV Method;VMV Method;
FECALCOLI;VMV_1418;1/100 ml;Fecal Coliform;Membrane filtration VMV_1418;Estimation;VMV Method;VMV Method;
FECALCOLI;VMV_2566;1/100 ml;Fecal Coliform;Determination of fecal coliform colonies by counting with low power binocular wide field microscope;Estimation;VMV Method;VMV Method;
FECALCOLI;VMV_2607;1/100 ml;Fecal Coliform;Concentration of fecal coliforms is determined as the most probable number (MPN) per 100 mL.;Estimation;VMV Method;VMV Method;
FECALSTREP;0;1/100 ml;Faecal Streptococci;;;;;Undefined Analysis Method
FECALSTREP;MFT;1/100 ml;Faecal Streptococci;Membrane Filter Technique;Estimation;SM 9230 C;APHA 1995;"Minor variations in analytical techniques can cause change in results; therefore microbiological methods and sterilising procedures must be standardized to obtain uniform results from different laboratories. Select appropriate sample volumes and filter through a 0.45 µm, gridded, sterile membrane filter to give 20 to 80 colonies on the membrane surface. Transfer filter to an agar medium petri dish, invert culture plates and incubate at 41°C ± 0.5°C for 48 hours. Carefully transfer filter to EIA medium (stable for 30 days if kept in the dark between 2°C to 10°C) and incubate at 41°C ± 0.5°C for 20 minutes. Count the colonies (per 100 mL) using a fluorescent lamp and magnifying lens. Growth of catalase-negative, gram-positive cocci on bile esculin agar and at 45°C, in brain-heart infusion broth, verifies that the colony is of the fecal streptococcus group (growth at 45°C and in 6.5% NaCl broth indicates that the colony belongs to the enterococcus group)."
FECALSTREP;VMV_1421;1/100 ml;Faecal Streptococci;Membrane filtration VMV_1421;Estimation;VMV Method;VMV Method;
FENITROTHION;0;µg/l;Fenitrothion;;;;;Undefined Analysis Method
FENITROTHION;VMV_303;ng/l;Fenitrothion;Analysis of  organophosphorus and triazine pesticides in surface waters using GC-MS/MS.;Chromatography;VMV Method;VMV Method;LEEQ Method No. Q0515E0.
FENITROTHION;VMV_3216;ng/l;Fenitrothion;Pesticides of the organophosphorus type, triazine, carbamate and urea: extraction with C-18;Chromatography;VMV Method;VMV Method;
FENOXAPROP-ETHYL;VMV_3433;ng/l;Fenoxaprop-ethyl;Neutral herbicides using liquid-liquid extraction with gas chromatography-mass selective detection;Chromatography;VMV Method;VMV Method;
FENPROPIMORPH;0;µg/l;Fenpropimorph;;;;;Undefined Analysis Method
FENTHION;0;µg/l;Fenthion;;;;;Undefined Analysis Method
FIPRONIL;0;µg/l;Fipronil;;;;;Undefined Analysis Method
FLAH;0;µg/l;Fluoranthene;;;;;Undefined Analysis Method
FLAH;APAT5060_2003;µg/l;Fluoranthene;Plant protection products (LLE or SPE + GC-NPD or HPLC-UV or GC-MS);Chromatography;APAT 2003;APAT 2003;
FLAH;EPA8100;µg/l;Fluoranthene;Polynuclear Aromatic Hydrocarbons;Chromatography;EPA 1986;EPA 1986;
FLAH;EPA8270D;µg/l;Fluoranthene;Semivolatile Organic Compounds by Gas Chromatography/Mass Spectrometry;Chromatography;8270D;EPA 1998;
FLAH;EPA8310;µg/l;Fluoranthene;Polynuclear Aromatic Hydrocarbons;Chromatography;;EPA 1986;"Method 8310 provides high performance liquid chromatographic (HPLC) conditions for the detection of ppb levels of certain polynuclear aromatic hydrocarbons. Prior to use of this method, appropriate sample extraction techniques must be used. A 5- to 25-uL aliquot of the extract is injected into an HPLC, and compounds in the effluent are detected by ultraviolet (UV) and fluorescence detectors.

Collect water samples in amber glass containers with screwcaps Teflon lined septa. If residual chlorine is present, add 3 mL of 10% sodium thiosulfate per gallon. Refrigerate at 4°C until extraction. Extract within 7 days. Solid samples: Collect sample in wide-mouth glass jar. Refrigerate at 4°C until extraction. Extract within 14 days. All extracts should be stored at 4°C and analyzed within 40 days after extraction. (https://www.nemi.gov/methods/method_pdf/4727/)"
FLAH;ISO17993_2003;µg/l;Fluoranthene;Determination of 15 polycyclic aromatic hydrocarbons (PAH) in water by HPLC with fluorescence detect;Chromatography;ISO 2003;ISO 2003;
FLAH;ISO6468_1996;µg/l;Fluoranthene;Determination of organochlorine pesticides by GC/ECD;Chromatography;6468;ISO 1996;
FLAH;MI_C_01_002REV2_2005;µg/l;Fluoranthene;analisi - MI/C/01/002 REV 2: 2005 - DETERMINAZIONE DI IPA TOTALI IN ACQUA E TERRENO;;;;
FLAH;P-T-GC-MS;µg/l;Fluoranthene;Purge-and-Trap Gas Chromatography/Mass Spectrometry;Chromatography;JIS K 0125 5.1;JSA 1998;
FLAH;PB-01;µg/l;Fluoranthene;PB-01/2006/PEl;;PB-01;PB-01;
FLAH;VMV_10366;ng/ml;Fluoranthene;Alkylated polynuclear aromatic hydrocarbons (alkylated PAHs);Chromatography;VMV Method;VMV Method;
FLAH;VMV_2863;ng/l;Fluoranthene;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
FLAH;VMV_3669;ng/l;Fluoranthene;Extraction of PAHs in water by solid phase extraction (SPE) and analysis by GC-MSMS.;Chromatography;VMV Method;VMV Method;
FLAH;VMV_3670;ng/l;Fluoranthene;Extraction of alkyl PAHs in water by solid phase extraction (SPE) and analysis by GC-MSMS.;Chromatography;VMV Method;VMV Method;
FLAH;VMV_4100;µg/l;Fluoranthene;PAH and alkyl substituted PAH in water are analyzed via GC-MS.;Chromatography;VMV Method;VMV Method;
FLAH;VMV_4102;ng/l;Fluoranthene;Analysis of OCs, PCBs, CBs & PAHs in 1 L water by GC-ECD and GC-MSD;Chromatography;VMV Method;VMV Method;
FLONICAMID;VMV_3619;ng/l;Flonicamid;Neonicotinoid insecticides in water are analyzed by ESI-LC-MS/MS.;Chromatography;VMV Method;VMV Method;
FLONICAMID;VMV_655;ng/l;Flonicamid;Multi residue analysis of pesticides in water by solid phase extraction and LC-MS/MS.;Chromatography;VMV Method;VMV Method;
FLRH;0;µg/l;2,2'-Methylenebiphenyl;;;;;Undefined Analysis Method
FLRH;EPA8310;µg/l;2,2'-Methylenebiphenyl;Polynuclear Aromatic Hydrocarbons;Chromatography;;EPA 1986;"Method 8310 provides high performance liquid chromatographic (HPLC) conditions for the detection of ppb levels of certain polynuclear aromatic hydrocarbons. Prior to use of this method, appropriate sample extraction techniques must be used. A 5- to 25-uL aliquot of the extract is injected into an HPLC, and compounds in the effluent are detected by ultraviolet (UV) and fluorescence detectors.

Collect water samples in amber glass containers with screwcaps Teflon lined septa. If residual chlorine is present, add 3 mL of 10% sodium thiosulfate per gallon. Refrigerate at 4°C until extraction. Extract within 7 days. Solid samples: Collect sample in wide-mouth glass jar. Refrigerate at 4°C until extraction. Extract within 14 days. All extracts should be stored at 4°C and analyzed within 40 days after extraction. (https://www.nemi.gov/methods/method_pdf/4727/)"
FLRH;P-T-GC-MS;µg/l;2,2'-Methylenebiphenyl;Purge-and-Trap Gas Chromatography/Mass Spectrometry;Chromatography;JIS K 0125 5.1;JSA 1998;
FLRH;VMV_10366;ng/ml;2,2'-Methylenebiphenyl;Alkylated polynuclear aromatic hydrocarbons (alkylated PAHs);Chromatography;VMV Method;VMV Method;
FLRH;VMV_2863;ng/l;2,2'-Methylenebiphenyl;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
FLRH;VMV_3669;ng/l;2,2'-Methylenebiphenyl;Extraction of PAHs in water by solid phase extraction (SPE) and analysis by GC-MSMS.;Chromatography;VMV Method;VMV Method;
FLRH;VMV_3670;ng/l;2,2'-Methylenebiphenyl;Extraction of alkyl PAHs in water by solid phase extraction (SPE) and analysis by GC-MSMS.;Chromatography;VMV Method;VMV Method;
FLRH;VMV_4100;µg/l;2,2'-Methylenebiphenyl;PAH and alkyl substituted PAH in water are analyzed via GC-MS.;Chromatography;VMV Method;VMV Method;
FLRH;VMV_4102;ng/l;2,2'-Methylenebiphenyl;Analysis of OCs, PCBs, CBs & PAHs in 1 L water by GC-ECD and GC-MSD;Chromatography;VMV Method;VMV Method;
FLUDIOXONIL;0;µg/l;Fludioxonil;;;;;Undefined Analysis Method
FLUDIOXONIL;VMV_3216;ng/l;Fludioxonil;Pesticides of the organophosphorus type, triazine, carbamate and urea: extraction with C-18;Chromatography;VMV Method;VMV Method;
FLUFENACET;0;µg/l;Flufenacet;;;;;Undefined Analysis Method
FLUMETSULAM;VMV_3431;ng/l;Flumetsulam;Analysis of sulfonyl ureas and related herbicides by SPE and LC-MS/MS detection;Chromatography;VMV Method;VMV Method;
FLUPYRADIFURONE;VMV_3619;ng/l;Flupyradifurone;Neonicotinoid insecticides in water are analyzed by ESI-LC-MS/MS.;Chromatography;VMV Method;VMV Method;
FLUPYRADIFURONE;VMV_655;ng/l;Flupyradifurone;Multi residue analysis of pesticides in water by solid phase extraction and LC-MS/MS.;Chromatography;VMV Method;VMV Method;
FLUQUINCONAZOLE;0;µg/l;Fluquinconazole;;;;;Undefined Analysis Method
FLURTAMONE;0;µg/l;Flurtamone;;;;;Undefined Analysis Method
FLUTRIAFOL;0;µg/l;Flutriafol;;;;;Undefined Analysis Method
FOMESAFEN;VMV_3431;ng/l;Fomesafen;Analysis of sulfonyl ureas and related herbicides by SPE and LC-MS/MS detection;Chromatography;VMV Method;VMV Method;
FORAMSULFURON;VMV_3431;ng/l;Foramsulfuron;Analysis of sulfonyl ureas and related herbicides by SPE and LC-MS/MS detection;Chromatography;VMV Method;VMV Method;
FS;0;mg/l;Fixed Solids;;;;;Undefined Analysis Method
FSS;0;mg/l;Fixed Suspended Solids;;;;;Undefined Analysis Method
FSS;FSS-G;mg/l;Fixed Suspended Solids;Fixed and Volatile Solids Ignited at 550 °C;Gravimetric Analysis;SM 2540 E;APHA 2012;Fixed Suspended Solids are defined as the residue remaining when the filter with its residue retained after completion of the test for non-filterable residue, is subjected to heat for a fixed period of time in a furnace held at 550°C. This test is conducted by taking the asbestos filter mat containing the residue for the total suspended solids (non-filterable residue) and placing it in a muffle furnace set at 550°C for 30 minutes. The filter is then cooled in a desiccator and the filter reweighed to constant weight. The increase in weight over that of the empty filter represents the fixed suspended solids.
FSS;VMV_411;mg/l;Fixed Suspended Solids;Nonfilterable fixed residue by gravimetric method;Gravimetric Analysis;VMV Method;VMV Method;
Fe-Dis;0;mg/l;Iron - Dissolved;;;;;Undefined Analysis Method
Fe-Dis;AAS-F-SpectrAA_220;µg/l;Iron - Dissolved;Flame Atomic Absorption Spectrometry with Varian SpectrAA 220;Spectroscopy;;;
Fe-Dis;AAS-F-SpectrAA_221;µg/l;Iron - Dissolved;Flame Atomic Absorption Spectrometry with Varian SpectrAA 221;Spectroscopy;;;
Fe-Dis;APAT3020_2003;µg/l;Iron - Dissolved;Determination of chemical elements by emission spectroscopy with plasma source (ICP-OES);Spectroscopy;APAT 2003;APAT 2003;
Fe-Dis;APHA3120_B_2005;µg/l;Iron - Dissolved;Inductively Coupled Plasma (ICP) Method (APHA 2005);Spectroscopy;3120 B;APHA 2005;
Fe-Dis;COL-TPTZ-DIS;mg/l;Iron - Dissolved;Colorimetry with TPTZ (Dissolved);Colorimetry;NAQ 26102;Environment Canada 1988;"A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample aliquot is mixed with HCl solution, followed by hydroxylamine hydrochloride (NH2OH.HCl) solution (reducing ferric to ferrous ions). This solution is mixed with TPTZ (2,4,6-tripyridyl-s-triazine) solution, then buffered at 4.75. The resulting violet colour is spectrometrically measured at 588 nm and compared to identically-prepared standard and blank solutions. Alternatively (Russian methods), the sample aliquot with HCl and hydroxylamine hydrochloride is boiled for 15-20 minutes, then cooled and neutralized with ammonia solution. A buffer solution with pH 3 and 1,10-phenanthroline solution are added. The resulting pink colour is spectrometrically measured at 510 nm and compared to identically prepared standard and blank solutions.
 Interference: Precipitable organic compounds, or high concentrations of copper, nickel, and/or cobalt."
Fe-Dis;FAAS-AAc-D;mg/l;Iron - Dissolved;Direct Air-Acetylene Flame Atomic Absorption Spectrometry;Spectroscopy;SM 3111 B;APHA 2012;A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample aliquot is aspirated and the absorbance is measured spectrometrically at 248.3 nm and compared to identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame.
Fe-Dis;ICP-MS;mg/l;Iron - Dissolved;Inductively-Coupled Plasma Mass Spectrometry;Spectroscopy;SM 3125 B;APHA 2012;A sample is filtered in the field through a 0.45 µm membrane filter and preserved with nitric acid. The sample aliquot is aspirated into an argon-based, high temperature radio frequency plasma. The sample is dissolved, atomised and ionised. These ions are extracted from the plasma through a vacuum interface and separated on the basis of their mass to charge ratio by a mass spectrometer. The ions are counted by an electron multiplier detector and the resulting information processed by a computer database system and compared to identically-prepared standard solutions.
Fe-Dis;ISO11885_1996;µg/l;Iron - Dissolved;Determination of selected elements by inductively coupled plasma optical emission spectrometry (ICP-;Spectroscopy;ISO 1996;ISO 1996;
Fe-Dis;ISO15586_2003;µg/l;Iron - Dissolved;Determination of trace elements using atomic absorption spectrometry with graphite furnace;Spectroscopy;ISO 2003;ISO 2003;
Fe-Dis;ISO17294-1_2006;µg/l;Iron - Dissolved;Application of inductively coupled plasma mass spectrometry (ICP-MS) - Part 1: General guidelines;Spectroscopy;17294-1;ISO 2006;
Fe-Dis;ISO17294-2_2004;µg/l;Iron - Dissolved;Application of inductively coupled plasma mass spectrometry (ICP-MS) - Part 2: Determination of sele;Spectroscopy;17294-2;ISO 2004;
Fe-Dis;VMV_1920;µg/l;Iron - Dissolved;Dissolved metals with in-bottle digestion using inductively coupled plasma-sector field MS;Spectroscopy;VMV Method;VMV Method;
Fe-Dis;VMV_2632;mg/l;Iron - Dissolved;Dissolved metals by inductively coupled argon plasma emission spectrometry with external nebulizer;Spectroscopy;VMV Method;VMV Method;
Fe-Dis;VMV_2633;mg/l;Iron - Dissolved;Dissolved metals by ICP argon plasma emission spectrometry with standard spray chamber;Spectroscopy;VMV Method;VMV Method;
Fe-Dis;VMV_2725;mg/l;Iron - Dissolved;Dissolved metals are analyzed by ICP-AES;Spectroscopy;VMV Method;VMV Method;
Fe-Dis;VMV_2728;mg/l;Iron - Dissolved;Dissolved metals in filtered samples by inductively coupled plasma mass spectrometry (ICP-MS).;Spectroscopy;VMV Method;VMV Method;
Fe-Dis;VMV_3007;µg/l;Iron - Dissolved;"Dissolved metals in water by ""in-bottle"" digestion are analyzed by ICP-MS/ICP-OES.";Spectroscopy;VMV Method;VMV Method;
Fe-Dis;VMV_3017;µg/l;Iron - Dissolved;Dissolved metals by inductively coupled argon plasma-mass spectrometry technique (ICP-MS).;Spectroscopy;VMV Method;VMV Method;
Fe-Dis;VMV_3529;µg/l;Iron - Dissolved;Dissolved metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Fe-Dis;VMV_3584;µg/l;Iron - Dissolved;Dissolved metals by CRC-ICP-MS and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Fe-Dis;VMV_3744;µg/l;Iron - Dissolved;Analysis of dissolved metals is done by inductively coupled argon plasma mass spectrometry (ICP-MS).;Spectroscopy;VMV Method;VMV Method;
Fe-Ext;0;mg/l;Iron - Extractable;;;;;Undefined Analysis Method
Fe-Ext;COL-TPTZ-DIG;mg/l;Iron - Extractable;Colorimetry with TPTZ (Digested);Colorimetry;NAQ 26302;Environment Canada 1988;"The sample is digested with HNO3. A sample aliquot is mixed with HCl followed by hydroxylamine hydrochloride (NH2OH-HCl) solution. This is mixed with TPTZ (2,4,6-tripyridyl-S-triazine) solution, then with buffer (pH=4.75) solution. The absorbance of the TPTZ complex is spectrophotometrically measured at 588 nm, and compared with those of identically prepared standard Fe2+ solutions. Interference possible from precipitable organic compounds.
Dissolved: If turbid, the sample is passed through a 0.45µ membrane filter.
Suspended: The sample is acidified with dilute mineral acid, shaken and left overnight."
Fe-Ext;FAAS-AAc-D;mg/l;Iron - Extractable;Direct Air-Acetylene Flame Atomic Absorption Spectrometry;Spectroscopy;SM 3111 B;APHA 2012;The whole water sample is acidified with dilute mineral acid (0.2% HNO3), shaken, left to stand overnight and analyzed by direct aspiration AAS. The absorbance is measured spectrophotometrically at wavelength 248.3 nm, and compared with those of standard solutions.
Fe-Ext;FAAS-AAc-E;mg/l;Iron - Extractable;Extraction/Air-Acetylene Flame Atomic Absorption Spectrometry;Spectroscopy;SM 3111 C;APHA 2012;The whole water sample is acidified with dilute mineral acid (0.2% HNO3), shaken, left to stand overnight. The pH of an aliquot of this solution is adjusted to 4.75 with a buffer solution. Ammonium pyrrolidine dithiocarbamate (APDC) solution is added to the aliquot, which is then extracted with methyl isobutyl ketone (MIBK). The absorbance is measured spectrophotometrically at a wavelength of 248.3 nm and compared with those of identically prepared standards. An acetylene-air oxidizing flame is used.
Fe-Ext;VMV_1917;µg/l;Iron - Extractable;Extractable metals with inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS);Spectroscopy;VMV Method;VMV Method;
Fe-Ext;VMV_2628;mg/l;Iron - Extractable;Extractable metals by inductively coupled argon plasma (ICAP) emission.;Spectroscopy;VMV Method;VMV Method;
Fe-Ext;VMV_2729;mg/l;Iron - Extractable;Extractable metals in water samples by inductively coupled plasma mass spectrometry (ICP-MS).;Spectroscopy;VMV Method;VMV Method;
Fe-Tot;0;mg/l;Iron - Total;;;;;Undefined Analysis Method
Fe-Tot;AAS-E;µg/l;Iron - Total;Electrothermal Atomic Absorption Spectrometric Method;Spectroscopy;SM 3113 B;APHA 2012;
Fe-Tot;APAT3020_2003;µg/l;Iron - Total;Determination of chemical elements by emission spectroscopy with plasma source (ICP-OES);Spectroscopy;APAT 2003;APAT 2003;
Fe-Tot;APHA3113_B_1998;µg/l;Iron - Total;Metals by Electrothermal Atommic Absorption Spectrometry;Spectroscopy;3113 B;APHA 1998;
Fe-Tot;APHA3120_B_2005;µg/l;Iron - Total;Inductively Coupled Plasma (ICP) Method (APHA 2005);Spectroscopy;3120 B;APHA 2005;
Fe-Tot;COL-TPTZ-TOT;mg/l;Iron - Total;Colorimetry with TPTZ (Total);Colorimetry;NAQ 26002;Environment Canada 1988;A sample is preserved in the field with nitric acid. The sample aliquot is digested with nitric acid, mixed with HCl, followed by hydroxylamine hydrochloride (NH2OH.HCl) solution (reducing ferric to ferrous ions). This solution is mixed with TPTZ (2,4,6-tripyridyl-s-triazine) solution and buffered at pH 4.75. The absorbance of the resulting violet colour is measured spectrometrically at 588 nm and compared to identically-prepared standard and blank solutions.
Fe-Tot;FAAS;µg/l;Iron - Total;Flame Atomic Absorption Spectrometry;Spectroscopy;;;
Fe-Tot;FAAS-AAc-D;µg/l;Iron - Total;Direct Air-Acetylene Flame Atomic Absorption Spectrometry;Spectroscopy;SM 3111 B;APHA 2012;
Fe-Tot;FAAS-AAc-D-NA;mg/l;Iron - Total;Direct Air-Acetylene Flame Atomic Absorption Spectrometry with HNO3 Digestion;Spectroscopy;SM 3111 B;APHA 2012;A sample is preserved in the field with nitric acid. The sample aliquot is digested in nitric acid, diluted appropriately, then aspirated and the absorbance is measured spectrometrically at 248.3 nm and compared to identically-prepared standard and blank solutions, using an air-acetylene oxidizing flame.
Fe-Tot;ICP-AES-Dgs;mg/l;Iron - Total;Inductively Coupled Plasma (ICP) Method (Total Metals after Rigorous Digestion);Spectroscopy;SM 3120 B;APHA 2012;A sample is preserved in the field with diluted mineral acid. The sample aliquot is digested in aqua regia solution and evaporated to near dryness. The residue is dissolved in concentrated HCl and diluted to one-fifth of the aliquot's original volume. The emission is measured at 259.9 nm and compared to identically-prepared standard and blank solutions.
Fe-Tot;ICP-AES-Xtr;mg/l;Iron - Total;Inductively Coupled Plasma (ICP) Method (Extractable/Recoverable Metals);Spectroscopy;SM 3120 B, 3030 C;APHA 2012;A sample is preserved in the field with nitric acid. The sample aliquot is digested in nitric acid or aqua regia, concentrated appropriately and aspirated from an autosampler. The emission is measured at 259.9 nm and compared to identically-prepared standard and blank solutions.
Fe-Tot;ICP-MS;mg/l;Iron - Total;Inductively-Coupled Plasma Mass Spectrometry;Spectroscopy;SM 3125 B;APHA 2012;A sample is preserved in the field with nitric acid. The sample aliquot is aspirated into an argon-based, high temperature radio frequency plasma. The sample is dissolved, atomised and ionised. These ions are extracted from the plasma through a vacuum interface and separated on the basis of their mass to charge ratio by a mass spectrometer. The ions are counted by an electron multiplier detector and the resulting information processed by a computer database system and compared to identically-prepared standard and blank solutions.
Fe-Tot;ICP-SFMS-CVD;mg/l;Iron - Total;Inductively-Coupled Plasma Sector Field Mass Spectrometry with Closed Vessel Digestion;Spectroscopy;SM 3125 B;APHA 2012;"Closed Vessel Digestion - The whole water sample is collected, preserved with 2% H2NO3, and stored in a HDPE or Teflon bottle. The sample is digested ""in-bottle"" in a convection oven at 60°C for 16 hours. The sample is cooled and introduced to an inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS) by pneumatic nebulization. Each respective element is measured at a specific mass to charge ratio, m/z value expressed in amu (atomic mass units), and at a specified instrument resolution. LR: Low Resolution ~ 300, MR: Mid Resolution ~ 4000 and HR : High Resolution ~ 10000"
Fe-Tot;ISO11885_1996;µg/l;Iron - Total;Determination of selected elements by inductively coupled plasma optical emission spectrometry (ICP-;Spectroscopy;ISO 1996;ISO 1996;
Fe-Tot;ISO11885_2007;µg/l;Iron - Total;Determination of selected elements by inductively coupled plasma optical emission spectrometry (ICP-;Spectroscopy;ISO 2007;ISO 2007;
Fe-Tot;ISO15586_2003;µg/l;Iron - Total;Determination of trace elements using atomic absorption spectrometry with graphite furnace;Spectroscopy;ISO 2003;ISO 2003;
Fe-Tot;ISO8288_1986;µg/l;Iron - Total;Determination of cobalt, nickel, copper, zinc, cadmium and lead - Flame atomic absorption spectromet;Spectroscopy;ISO 1986;ISO 1986;
Fe-Tot;NIVA_E8-3;µg/l;Iron - Total;Inductively-Coupled Plasma Mass Spectrometry (NIVA);Spectroscopy;E8-3;NIVA;
Fe-Tot;VMV_1919;µg/l;Iron - Total;Total metals with in-bottle digestion and inductively coupled plasma-sector field mass spectrometer;Spectroscopy;VMV Method;VMV Method;
Fe-Tot;VMV_2459;µg/l;Iron - Total;Total recoverable metals with thermal digestion and inductively coupled plasma mass spectrometry;Spectroscopy;VMV Method;VMV Method;
Fe-Tot;VMV_2631;mg/l;Iron - Total;Total metals by inductively coupled argon plasma emission spectrometry with standard spray chamber;Spectroscopy;VMV Method;VMV Method;
Fe-Tot;VMV_2634;mg/l;Iron - Total;Total metals by inductively coupled argon plasma emission spectrometry with external nebulizer.;Spectroscopy;VMV Method;VMV Method;
Fe-Tot;VMV_2903;µg/g;Iron - Total;Metals in soil by inductively coupled plasma atomic/atomic emission spectroscopy (ICP-AES).;Spectroscopy;VMV Method;VMV Method;
Fe-Tot;VMV_2960;mg/l;Iron - Total;"Total metals in water by ""in bottle"" digestion are analyzed by ICP-MS/ICP-OES.";Spectroscopy;VMV Method;VMV Method;
Fe-Tot;VMV_3528;µg/l;Iron - Total;Total metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Fe-Tot;VMV_3583;µg/l;Iron - Total;Total metals by CRC-ICP-MS and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Fe-Tot;VMV_375;µg/l;Iron - Total;Total metals in water by ICP-MS;Spectroscopy;VMV Method;VMV Method;
GCHLORDANE;GC-ECD-ENV718;µg/l;Gamma-Chlordane;Gas Chromatography (ENV 718);Chromatography;ENV 718;Environment Canada 1995;A 1 litre sample is extracted by benzene or hexane, and the extract dried, concentrated and cleaned up on a Florisil column for the preliminary separation. The eluates are concentrated, and injected into a gas chromatograph using electron capture detection. The pesticide is confirmed qualitatively by thin layer chromatography (TLC) and measured quantitatively by comparing the non-solvent areas of the chromatogram to those of standard solutions of the purified pesticide.
GCHLORDANE;VMV_2863;ng/l;Gamma-Chlordane;Analysis of OCs, PCBs, CBs and PAHs in 1 L water samples by GC-ECD and GC-MSD.;Chromatography;VMV Method;VMV Method;
GCHLORDANE;VMV_3654;ng/l;Gamma-Chlordane;Chlorobenzenes and organochlorine pesticides by liquid-liquid extraction and GC-MS/MS detection.;Chromatography;VMV Method;VMV Method;
GLUFOSINATE;VMV_3543;ng/l;Glufosinate;Determination of glyphosate, glufosinate and AMPA by LS-MS/MS (AXYS method MLA-054).;Chromatography;VMV Method;VMV Method;
GLYPHOSATE;0;µg/l;N-(phosphonomethyl)glycine;;;;;Undefined Analysis Method
GLYPHOSATE;VMV_3543;ng/l;N-(phosphonomethyl)glycine;Determination of glyphosate, glufosinate and AMPA by LS-MS/MS (AXYS method MLA-054).;Chromatography;VMV Method;VMV Method;
GUTHION;0;µg/l;Azinphos-methyl;;;;;Undefined Analysis Method
GUTHION;VMV_303;ng/l;Azinphos-methyl;Analysis of  organophosphorus and triazine pesticides in surface waters using GC-MS/MS.;Chromatography;VMV Method;VMV Method;LEEQ Method No. Q0515E0.
Ga-Dis;VMV_1920;µg/l;Gallium - Dissolved;Dissolved metals with in-bottle digestion using inductively coupled plasma-sector field MS;Spectroscopy;VMV Method;VMV Method;
Ga-Dis;VMV_3007;µg/l;Gallium - Dissolved;"Dissolved metals in water by ""in-bottle"" digestion are analyzed by ICP-MS/ICP-OES.";Spectroscopy;VMV Method;VMV Method;
Ga-Dis;VMV_3529;µg/l;Gallium - Dissolved;Dissolved metals by CRC-ICP-MS with in-bottle digestion and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Ga-Dis;VMV_3584;µg/l;Gallium - Dissolved;Dissolved metals by CRC-ICP-MS and discrete sampling pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Ga-Ext;VMV_1917;µg/l;Gallium - Extractable;Extractable metals with inductively coupled argon plasma-sector field mass spectrometer (ICP-SFMS);Spectroscopy;VMV Method;VMV Method;
Ga-Ext;VMV_2817;µg/l;Gallium - Extractable;Extractable metals by inductively coupled argon plasma-mass spectrometry with pneumatic nebulization;Spectroscopy;VMV Method;VMV Method;
Ga-Tot;VMV_1919;µg/l;Gallium - Total;Total metals with in-bottle digestion and inductively coupled plasma-sector field mass spectrometer;Spectroscopy;VMV Method;VMV Method;
